|Expt	|Run	|Epoch	$RunName	#NCorrect	#RewPred	#Rew	#RPE	#PerTrlMSec
0	14	19	2024-02-29-seq3x5pgi_49u_good_Base	1.578	0.1415	0.3333	0.1938	59.74
0	14	20	2024-02-29-seq3x5pgi_49u_good_Base	2.148	0.1652	0.5417	0.3803	60.2
0	14	21	2024-02-29-seq3x5pgi_49u_good_Base	2.406	0.2003	0.7083	0.5131	59.59
0	14	22	2024-02-29-seq3x5pgi_49u_good_Base	2.789	0.247	0.8932	0.6527	58.87
0	14	23	2024-02-29-seq3x5pgi_49u_good_Base	3	0.3039	1	0.7031	60.78
0	15	0	2024-02-29-seq3x5pgi_49u_good_Base	0.1094	0.1003	0.02083	-0.07937	0
0	15	1	2024-02-29-seq3x5pgi_49u_good_Base	0.375	0.1007	0.04688	-0.05376	60.38
0	15	2	2024-02-29-seq3x5pgi_49u_good_Base	0.4375	0.1018	0.05729	-0.04449	61.15
0	15	3	2024-02-29-seq3x5pgi_49u_good_Base	0.3203	0.1009	0.02604	-0.07494	59.22
0	15	4	2024-02-29-seq3x5pgi_49u_good_Base	0.6562	0.1023	0.09635	-0.005707	58.5
0	15	5	2024-02-29-seq3x5pgi_49u_good_Base	0.5156	0.1019	0.05729	-0.04467	60.98
0	15	6	2024-02-29-seq3x5pgi_49u_good_Base	0.6094	0.1029	0.08333	-0.01948	59.17
0	15	7	2024-02-29-seq3x5pgi_49u_good_Base	0.6875	0.1049	0.112	0.007361	59.76
0	15	8	2024-02-29-seq3x5pgi_49u_good_Base	0.3203	0.1036	0.03906	-0.06493	59.65
0	15	9	2024-02-29-seq3x5pgi_49u_good_Base	0.6797	0.1032	0.1042	0.001359	59.16
0	15	10	2024-02-29-seq3x5pgi_49u_good_Base	1.188	0.1099	0.1875	0.07849	59.07
0	15	11	2024-02-29-seq3x5pgi_49u_good_Base	1.055	0.1137	0.1667	0.0535	56.46
0	15	12	2024-02-29-seq3x5pgi_49u_good_Base	1.562	0.1228	0.3255	0.2048	59.42
0	15	13	2024-02-29-seq3x5pgi_49u_good_Base	2.18	0.1518	0.6198	0.4728	54.43
0	15	14	2024-02-29-seq3x5pgi_49u_good_Base	2.219	0.1925	0.6094	0.4211	59.13
0	15	15	2024-02-29-seq3x5pgi_49u_good_Base	1.914	0.2128	0.4115	0.2007	59.87
0	15	16	2024-02-29-seq3x5pgi_49u_good_Base	2.133	0.2322	0.5339	0.3047	68.15
0	15	17	2024-02-29-seq3x5pgi_49u_good_Base	2.938	0.276	0.9688	0.6997	82.63
0	15	18	2024-02-29-seq3x5pgi_49u_good_Base	2.984	0.3314	0.9896	0.6648	82.48
0	16	0	2024-02-29-seq3x5pgi_49u_good_Base	0.9531	0.102	0.1094	0.007839	0
0	16	1	2024-02-29-seq3x5pgi_49u_good_Base	1.148	0.1061	0.1745	0.06922	81.92
0	16	2	2024-02-29-seq3x5pgi_49u_good_Base	1.055	0.1158	0.1875	0.0724	83.71
0	16	3	2024-02-29-seq3x5pgi_49u_good_Base	1.078	0.1199	0.1927	0.07354	83.08
0	16	4	2024-02-29-seq3x5pgi_49u_good_Base	0.8828	0.1228	0.1432	0.02062	80.69
0	16	5	2024-02-29-seq3x5pgi_49u_good_Base	1.391	0.1297	0.3099	0.182	61.13
0	16	6	2024-02-29-seq3x5pgi_49u_good_Base	2.281	0.1553	0.6146	0.4639	62.04
0	16	7	2024-02-29-seq3x5pgi_49u_good_Base	2.953	0.2103	0.9792	0.7767	63.24
0	16	8	2024-02-29-seq3x5pgi_49u_good_Base	2.984	0.27	0.9844	0.7216	62.83
0	17	0	2024-02-29-seq3x5pgi_49u_good_Base	0.03906	0.1	0.002604	-0.09743	0
0	17	1	2024-02-29-seq3x5pgi_49u_good_Base	0.5547	0.1014	0.08854	-0.01237	60.06
0	17	2	2024-02-29-seq3x5pgi_49u_good_Base	0.9844	0.1061	0.1615	0.05603	62.05
0	17	3	2024-02-29-seq3x5pgi_49u_good_Base	1.508	0.1157	0.2813	0.1672	61.05
0	17	4	2024-02-29-seq3x5pgi_49u_good_Base	1.609	0.1306	0.3151	0.1864	62.85
0	17	5	2024-02-29-seq3x5pgi_49u_good_Base	1.641	0.1455	0.3177	0.174	62.42
0	17	6	2024-02-29-seq3x5pgi_49u_good_Base	1.281	0.1549	0.2005	0.04608	61.55
0	17	7	2024-02-29-seq3x5pgi_49u_good_Base	1.469	0.1586	0.3021	0.1449	62.46
0	17	8	2024-02-29-seq3x5pgi_49u_good_Base	2.68	0.1914	0.8229	0.6379	63.25
0	17	9	2024-02-29-seq3x5pgi_49u_good_Base	3	0.2517	1	0.7559	61.86
0	18	0	2024-02-29-seq3x5pgi_49u_good_Base	0.9297	0.1024	0.1224	0.02047	0
0	18	1	2024-02-29-seq3x5pgi_49u_good_Base	0.9141	0.1048	0.1198	0.01526	62.57
0	18	2	2024-02-29-seq3x5pgi_49u_good_Base	1.141	0.1131	0.2344	0.1225	60.05
0	18	3	2024-02-29-seq3x5pgi_49u_good_Base	1.18	0.1207	0.2109	0.09112	61.12
0	18	4	2024-02-29-seq3x5pgi_49u_good_Base	2.109	0.1398	0.5521	0.4165	60.51
0	18	5	2024-02-29-seq3x5pgi_49u_good_Base	2.953	0.1923	0.9688	0.7843	63.68
0	18	6	2024-02-29-seq3x5pgi_49u_good_Base	2.992	0.2532	0.9922	0.7465	63.58
0	19	0	2024-02-29-seq3x5pgi_49u_good_Base	0.9453	0.1024	0.1224	0.02046	0
0	19	1	2024-02-29-seq3x5pgi_49u_good_Base	1.336	0.1071	0.1979	0.09189	57.66
0	19	2	2024-02-29-seq3x5pgi_49u_good_Base	2.016	0.1284	0.4583	0.3333	58.86
